url,category_code,category_description,date_added,source,notes
https://fi.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://sv.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://fi.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://thl.fi/sv/web/infektionssjukdomar,PUBH,Public Health,2020-04-01,citizenlab,coronavirus
https://www.tokentube.net/home,MMED,Media sharing,2021-12-21,,A Finnish media sharing platform for video bloggers and live streaming
https://www.magneettimedia.com/,HATE,Hate speech,2021-12-21,,hate speech in Finnish about ethnic groups, minorities and politicians etc
https://www.ylilauta.org/,GRP,Social Networking,2021-12-21,,a Finnish image board
https://lapsiporno.info/,POLR,Political Criticism,2021-12-21,,often banned Finnish webpage about internet cencorship and website blocking in Finland
https://www.saamicouncil.net/,HUMR,Human Rights Issues,2021-12-21,,human rights issues of sami people
https://www.samediggi.fi/,HUMR,Human Rights Issues,2021-12-21,,political and cultural rights of sami people
